Padrão,Frase,Nome da Música,Nome do Artista,Gênero Musical,Letra da Música,Categoria,Sentimento
sujeitoauxadjetivo,eu estava apaixonada,Meiga e abusada,Anitta,Pop,"Eu, posso conquistar tudo que eu quero Mas, foi tão fácil pra te controlar Com, jeito de menina brincalhona A fórmula perfeita pra poder te comandar Pensou, que eu fosse cair mesmo nesse papo? Que, tá solteiro e agora quer parar Eu, finjo, vou fazendo meu teatro E te faço, de palhaço, pra te dominar Tá fazendo tudo que eu mando Achando que logo vai me ter Mas no fundo eu só tô brincando com você Poderosa, eu sou quase um anjo Hipnose, já ganhei você Nesse jogo vamos ver quem é que vai vencer Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não Eu, posso conquistar tudo que eu quero Mas, foi tão fácil pra te controlar Com, jeito de menina brincalhona A fórmula perfeita pra poder te comandar Pensou, que eu fosse cair mesmo nesse papo? Que, tá solteiro e agora quer parar Eu, finjo, vou fazendo meu teatro E te faço, de palhaço, pra te dominar Tá fazendo tudo que eu mando Achando que logo vai me ter Mas no fundo eu só tô brincando com você Poderosa, eu sou quase um anjo Hipnose, já ganhei você Nesse jogo vamos ver quem é que vai vencer Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não (Eu sempre digo não) Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não.",Emoção,Positivo
sujeitoadjetivo,eu (louca,"Pretin (Verão, Pt. 1)",Flora Matos,Rap,"Pretin Desse jeito cê me deixa louca Tomando coragem pra beijar sua boca Mesmo que cê não saiba Sou eu, não tem outra Pra mudar sua vida assim só eu (louca) Desse jeito cê me deixa louca Tomando coragem pra beijar sua boca Mesmo que cê não saiba Sou eu, não tem outra Pra mudar sua vida assim só eu Hoje ele acordou e assoviou A Flora acordou e te respondeu Quando ele queria um beijo era Quando ela respondia era tipo Ele dizia: Eu tô te querendo Ela dizia: Já tô descendo Ele dizia: Então vem correndo Ela dizia: É isso memo Me levou pra passear depois E fez com que esse amor crescesse tanto em mim Me levou pra um lugar Onde quando um amor começa jamais haverá um fim Dominou meu coração de uma forma tão sútil Mas eu não consegui dormir E o meu pretinho querendo meu chamego Já não tinha porque se esconder assim Pretin Desse jeito cê me deixa louca Tomando coragem pra beijar sua boca Mesmo que cê não saiba Sou eu não tem outra Pra mudar sua vida assim só eu (louca) Desse jeito cê me deixa louca Tomando coragem pra beijar sua boca Mesmo que cê não saiba Sou eu não tem outra Pra mudar sua vida assim só eu Pretin",Caráter,Negativo
sujeitoauxadjetivo,eu (foi mais forte,Tudo Aconteceu,MC Du Black,Funk,"Ei, Delacruz na voz Du Black na voz, na voz, na voz DJ Salgueirinho, o rei da fuzarca Vou viajar Mais uma vez o tesão foi mais forte que eu (foi mais forte que eu) No baile da FM tudo aconteceu Uísque e bala eu confesso que já estava na onda Você chegou e me pediu de novo no banco do carona Agora fudeu eu não paro mais Na onda que eu tô eu não paro mais (não paro mais) Ritmo doido eu não paro mais No ódio que eu tô eu não paro mais (não paro mais) Senta, firma, trava em cima Senta, firma, trava em cima Eu me apaixonei, saudade que não acaba mais Mais uma vez o tesão foi mais forte que eu (foi mais forte que eu) No baile da FM tudo aconteceu Manda até o pente ela já vem no faro Pra fazer a minha mente com papinho safado Vai diretamente no meu ponto fraco (no meu ponto fraco) Proposta indecente dentro do meu carro Colocando a mão por dentro do meu short Banco do carona desce a fumaça sobe Depois que acende o beck é mó sacode Fode, fode, fode, fode, fode Na onda foi assim que ""nóis"" fudeu Na [?] pede pra parar nem eu Na história a foda que ""nóis"" deu Mais uma xota que se envolveu, não teve jeito, eaí? Mais uma vez o tesão foi mais forte que eu (foi mais forte que eu) No baile da FM tudo aconteceu Agora fudeu eu não paro mais Na onda que eu tô eu não paro mais (não paro mais) Ritmo doido eu não paro mais No ódio que eu tô eu não paro mais (não paro mais) Senta, firma, trava em cima Senta, firma, trava em cima Senta, firma, trava em cima Senta, firma Saudade que não acaba mais Mais uma vez o tesão foi mais forte que eu (foi mais forte que eu) No baile da FM tudo aconteceu Tudo aconteceu, tudo aconteceu Tudo aconteceu, tudo aconteceu",Aparência,Positivo
sujeitoauxadjetivo,eu juro que eu quero me mudar daqui vou atrás do progresso pra me adiantar só quero ver minha família mais feliz,Deus é por nós,MC Marks,Funk,"(Ai, ai, ai, ai, ai) (Ai, ai, ai, ai, ai) (É o Marks novamente e o DJ Muka) Eu acho que essa vida não me satisfaz Eu juro que eu quero me mudar daqui Vou atrás do progresso pra me adiantar Só quero ver minha família mais feliz Um sorriso no rosto da minha coroa Vale mais que barra de ouro E se tudo der certo Daqui um tempo, nóis vai tá sorrindo à toa Meto marcha vou buscar o que é nosso Vou mostrar que favelado também pode Dá risada da cara de quem desmerece Olha só, o menor hoje de Porsche Abre a janela pro vento bater O que for ruim deixa o vento levar Enquanto eu tiver forças pra viver Eu nunca vou deixar de sonhar Abre a janela pro vento bater O que for ruim deixa o vento levar Enquanto eu tiver forças pra viver Eu nunca vou deixar de sonhar Como dizia Racionais Eu sempre fui um sonhador E é isso que me mantém vivo Aê menor, vai buscar o que é seu Porque o que é seu só você pode alcançar Nunca deixe de sonhar É o Marks novamente Eu nunca vou deixar de sonhar E se Deus é por nóis, quem será contra nóis? A favela venceu, deixa os menor voar E se Deus é por nóis, quem será contra nóis? A favela venceu, deixa os menor voar E se Deus é por nóis, quem será contra nóis? A favela venceu, deixa os menor voar E se Deus é por nóis, quem será contra nóis? A favela venceu, deixa os menor voar (Ai, ai, ai, ai, ai) (Ai, ai, ai, ai, ai) (É o Marks novamente e o DJ Muka) Eu acho que essa vida não me satisfaz Eu juro que eu quero me mudar daqui Vou atrás do progresso pra me adiantar Só quero ver minha família mais feliz Um sorriso no rosto da minha coroa Vale mais que barra de ouro E se tudo der certo Daqui um tempo, nóis vai tá sorrindo à toa Meto marcha vou buscar o que é nosso Vou mostrar que favelado também pode Dá risada da cara de quem desmerece Olha só, o menor hoje de Porsche Abre a janela pro vento bater O que for ruim, deixa o vento levar Enquanto eu tiver forças pra viver Eu nunca vou deixar de sonhar Abre a janela pro vento bater O que for ruim, deixa o vento levar Enquanto eu tiver forças pra viver Eu nunca vou deixar de sonhar Como dizia Racionais Eu sempre fui um sonhador E é isso que me mantém vivo Aê menor, vai buscar o que é seu Porque o que é seu só você pode alcançar Nunca deixe de sonhar É o Marks novamente Eu nunca vou deixar de sonhar",Emoção,Positivo
sujeitoauxadjetivo,eu tô preparada,Desce Pro Play (PA PA PA),ZAAC,Funk,"[MC Zaac] Pa, pa, pa, pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa (gravou) Pa, pa (hey) Cheguei pra gente brincar Então desce pro play, você vai gostar No way, vamo apimentar Quero ver descer até o pai cansar Você quer pula-pula, só vai ter uma regra Se apegar, não dura, o Zaac não se apega Vou te deixar maluca, já tô na mente dela Se você tá no pique, o Zaac vai te pega, ahn [MC Zaac & Anitta] Sim, vem cá jogar pra mim Vem cá jogar pra mim, bem gostosin Sim, vem cá jogar pra mim Vem cá jogar pra mim Sobe, desce, para, depois joga na minha cara e faz [MC Zaac] Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Sobe, desce, para, depois joga na minha cara e faz Pa, pa, pa, pa, pa, pa (ahn) Pa, pa, pa, pa, pa, pa (tá bom) Pa, pa, pa, pa, pa, pa (ahn, ahn) Pa, pa, pa, pa, pa, pa (hey, hey) [Anitta & MC Zaac] Gostei, então vou ficar Já apimentei, vou deixar queimar Dancei, quer me ver brincar E se eu descer, cê vai aguentar Você quer pula-pula, eu quero pega-pega Se apegar, não dura, Anitta não se apega Vou te deixar maluca, já tô na mente dela Vê se não para, não para que se parar, já era [Anitta] Quer entrar na brincadeira, ahn Vai perder a noite inteira, ahn Qual a próxima rodada? Vem que eu tô preparada Quer entrar na brincadeira, ahn Vai perder a noite inteira, ahn Qual a próxima rodada? Sobe, desce, para, depois joga na minha cara e faz [MC Zaac, Anitta & Tyga] Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Sobe, desce, para, depois joga na minha cara e faz Pa, pa, pa, pa, pa, pa (ahn) Pa, pa, pa, pa, pa, pa (tá bom) Pa, pa, pa, pa, pa, pa (yeah, yeah, yeah) Sobe, desce, para, depois joga na minha cara e faz [Tyga] I'm a beast (beast), choppin' on the beat (hah) Hoes in my sheets, I ain't gettin' no sleep (no, sheesh) On me (hah), I'm who you wanna be (yah) Bounce on to me, I get girls by the fleet (shit; wooh) Baby touch those toes, grind slow, strip pole Bring it up though (though), drop low fo' sure Booty round, no (no), I'm a dog, call the pound Dog pound hoe (hoe), I just wanna see you go [MC Zaac, Anitta & Tyga] Pa (eh) pa (ah) pa, pa, pa (hah) pa, pa Pa, pa, pa (go), pa, pa, pa, pa Pa, pa, pa, pa, pa, pa, pa Sobe, desce, para, depois joga na minha cara e faz Pa, pa, pa, pa, pa, pa (ahn) Pa, pa, pa, pa, pa, pa (tá bom) Pa, pa, pa, pa, pa, pa Sobe, desce, para, depois joga na minha cara e faz",Emoção,Positivo
sujeitoauxadjetivo,eu fosse mais nova,Deve ser horrível dormir sem mim,Manu Gavassi,Pop,"Larguei até o livro que eu estava começando a ler Só pra te ver Sofrer por mim Se eu fosse mais nova Eu cederia sim Sim, mas não Larguei até o vício que eu estava começando a ter Em Cabernet E só porque vejo sua leve Não tão leve Obsessão em mim (Qualquer vício é ruim) Meu estilo é clássico Amor pra poucos Meu humor é ácido Meu estilo é clássico Amor pra poucos Meu humor é ácido Mistura de Rita com Amelie Quando acha que entendeu Eu nem tô mais aqui Claro posicionamento político Laço no cabelo E bom senso crítico Deve ser horrível dormir sem mim, sem mim Deve ser horrível dormir sem mim (Me ver de longe e tão livre assim) Deve ser horrível dormir sem mim Deve ser horrível Já virei a página da minha história Hoje pra você não passo de memória Chorei bastante mas eu sei que tudo passa Relaxa que eu não vou revelar a sua farsa Brigar pra quê? Ficar dando volta em seu orgulho pra chegar em nenhum lugar Ficar pra quê? Se eu vi seu método e sei que ele não vai me contemplar Tive que entender E me escolher Talvez eu seja muito, muito, muito pra você Por que eu sou sempre assim? Deve ser horrível dormir sem mim Mistura de Rita com Amelie Quando acha que entendeu Eu nem tô mais aqui Claro posicionamento político Laço no cabelo E bom senso crítico Deve ser horrível dormir sem mim, sem mim Deve ser horrível dormir sem mim (Me ver de longe e tão livre assim) Deve ser horrível dormir sem mim (deve ser horrível) Deve ser horrível dormir sem mim Me ver de longe e tão livre assim Deve ser horrível dormir sem mim, sem mim Deve ser horrível dormir sem mim Deve ser horrível dormir sem mim, sem mim Deve ser horrível Dormir sem mim",Aparência,Negativo
ficar_parecer_tornar,eu fico louca,MODO TURBO,Luísa Sonza,Funk,"Rafinha RSQ, Rennan da Penha Aposto contigo, vai fazer o que eu quiser Com essa turbulência, tu não vai parar em pé Hoje eu fico louca, looping de beijar na boca Vem comigo quem aguenta essa porra a noite toda Crazy, crazy, crazy Me levar pro canto, pode No meu love, love, hã, hã, hã Crazy, crazy, crazy Me levar pro canto, pode No meu love, love, hã, hã, hã Nem chamou e eu já fui Se der bom, vai dar ruim Cê não vai esquecer Vou botar pra fuder Foguete do tipo NASA saindo da atmosfera Tem turbina nessa raba e agora ninguém me (sss) Foguete do tipo NASA saindo da atmosfera (an) Tem turbina nessa raba e agora ninguém me pega (vai!) Aperta o cinto, modo turbo Que a sentada é de outro mundo Aperta o cinto, modo turbo Senta, senta, senta Aperta o cinto, modo turbo Que a sentada é de outro mundo Aperta o cinto, modo turbo Senta, senta, senta Nem chamou e eu já fui (e eu já fui) Se der bom (se der bom), vai dar ruim (brrr) Cê não vai (cê não vai) esquecer (esquecer) Vou botar (vou botar) pra fuder (brrrá!) Foguete do tipo NASA saindo da atmosfera Tem turbina nessa raba e agora ninguém me pega Foguete do tipo NASA saindo da atmosfera Tem turbina nessa raba e agora ninguém me pega (Brrrá! Vai!) Vem comigo quem aguenta essa porra a noite toda Crazy, crazy, crazy Me levar pro canto, pode No meu love, love, hã, hã, hã Crazy, crazy, crazy Me levar pro canto, pode No meu love, love, hã, hã, hã Foguete do tipo NASA saindo da atmosfera Tem turbina nessa raba e agora ninguém me pega Foguete do tipo NASA saindo da atmosfera Tem turbina nessa raba e agora ninguém me pega Aperta o cinto, modo turbo Que a sentada é de outro mundo Aperta o cinto, modo turbo Senta, senta, senta Aperta o cinto, modo turbo Que a sentada é de outro mundo Aperta o cinto, modo turbo Senta, senta, senta Vem comigo quem aguenta essa porra a noite toda",Caráter,Negativo
sujeitoauxadjetivo,eu não tô sendo escroto,Mágica - Ao Vivo,Hugo & Guilherme,Sertanejo,"Desconfiei dos seus amigos Dos meus, de todos Até pensei Será que eu não tô sendo escroto? E ao mesmo tempo, tem um tempo Que seu beijo anda meio chocho Na cama é três minutinhos Vira de lado, caindo de sono Quando eu perguntava Me chamava de doido Quando não falava “ih, vai começar de novo? ” Ela falou acha! Achei, sem fazer muito esforço Não teve grito, nem rolo, nem nada Apertei um pouco, cê entregou ligeiro Já sei o dia, a hora E se não bastasse Até o nome do companheiro Cê plantou isso e vai morrer de fome Faz uma mágica aí pra gente E some",Caráter,Negativo
sujeitoauxadjetivo,eu tô alegre,Óculos,Os Paralamas Do Sucesso,Rock,Se as meninas do Leblon Não olham mais pra mim. Eu uso óculos E volta e meia Eu entro com meu carro pela contramão Eu tô sem óculos Se eu tô alegre Eu ponho os óculos e vejo tudo bem Mas se eu tô triste eu tiro os óculos Eu não vejo ninguém Por que você não olha pra mim? Me diz o que é que eu tenho de mal Por que você não olha pra mim? Por trás dessa lente tem um cara legal... Eu decidi dizer que eu nunca fui o tal Era mais jogo se eu tentasse fazer charme de intelectual Se eu te disser Periga você não acreditar em mim. Eu não nasci de óculos... Eu não era assim... Por que você não olha pra mim? Me diz o que é que eu tenho de mal. Por que você não olha pra mim? Por trás dessa lente tem um cara legal. Por que você não olha pra mim? Por que você diz sempre que não? Por que você não olha pra mim? Por trás dessa lente também bate um coração.,Emoção,Positivo
sujeitoauxadjetivo,eu era muito nova,Baba,Kelly Key,Pop,"Coitado! coi coi coi coitado! você não acreditou Você nem me olhou Disse que eu era muito nova pra você Mas agora que cresci você quer me namorar Você não acreditou Você sequer notou Disse que eu era muito nova pra você Mas agora que cresci você quer me namorar Não vou acreditar nesse falso amor Que só quer me iludir me enganar isso é caô E pra não dizer que eu sou ruim Vou deixar você me olhar Só olhar, só olhar, baba Baby, baba Olha o que perdeu Baba, criança cresceu Bem feito pra você, é, agora eu sou mais eu Isso é pra você aprender a nunca mais me esnobar Baba baby, baby, baba, baba Baby, baba Olha o que perdeu Baba, criança cresceu Bem feito pra você, é, agora eu sou mais eu Isso é pra você aprender a nunca mais me esnobar Baba baby, baby, baba, baba Baby, baba baba ba Baby baba baba ba Baby baba baba ba Baby Baba baba ba Baby baba baba ba Baby baba baba ba baby",Aparência,Negativo
