Padrão,Frase,Nome da Música,Nome do Artista,Gênero Musical,Letra da Música,Categoria,Sentimento
sujeitoauxadjetivo,bebê cara é foda,Coração de Gelo,WIU,Rap,"Get-get it, get it up, get it up, get it up, boy Ainda tem grana a fazer por aí Ela não vai te ligar nem chamar pra sair Cai pra noite, vai, deixa o baile seguir (Ye-eh-eh, ye) Mas que falta de sorte Trata o coração quebrado fumando um da forte (Oh-oh-oh-ohn) Várias bunda no lugar, mas nada que me importe Só de olhar lá no fundo do olho Eu já sei que nenhuma faz como tu faz Te apresento essa neném com cara de malva' (Da) Descendo do Uber com as cunhada Fuma um vape com gosto de ""hoje a mãe arrasa"" (Eh) Aprovеita e me leva pra tua casa (Eh-еh) Me promete prazer (Eh), preciso de amor não Já me conformei que eu não vou segurar sua mão Mas tudo bem, tudo, tudo bem, tranquilão Se ela me magoar, eu ligo a outra que ela tem mó bundão Essa bicha tá desconsiderando o nego A nega é coração de gelo Essa bebê cara é foda, ela me deu um nó (Oh) Ela não quer mais amor, só quer o isqueiro Essa bicha tá desconsiderando o nego (Oh) A nega é coração de gelo Essa bebê cara é foda, ela me deu um nó (Oh) Ela não quer mais amor, só quer dinheiro Deixa eu quebrar o gelo do seu coração Primeiro nós fode, depois fuma um balão Ficou com tesão no brilho do cordão Nem pensa em romance, ela só quer tapão Get it, get it up, get it up, get it up, boy Tranquilão fumando um do bom por aí Sempre na onda, eu não deixo a vibe cair Se quiser colar, vem, é só me seguir My, my, my, my baby, foda que eu e ela era sal (Era sal) Aquela raba fora do normal Ela disse que quer conhecer Fortal Viciou no meu flow, no estilo vetin' criminal Essa bicha tá desconsiderando o nego A nega é coração de gelo Essa bebê cara é foda, ela me deu um nó (Oh) Ela não quer mais amor, só quer o isqueiro Essa bicha tá desconsiderando o nego (Oh) A nega é coração de gelo Essa bebê cara é foda, ela me deu um nó (Oh) Ela não quer mais amor, só quer dinheiro Deixa eu quebrar o gelo do seu coração Oh, oh Ficou com tesão no brilho do cordão Oh, oh",Aparência,Positivo
sujeitoadjetivo,criança má,Bronzes e Cristais,Maysa,MPB,"Se alguém contar pelos dedos Quantas alegrias provou Pensará que foram brinquedos Que criança má, o tempo quebrou Quem seguir a senda florida Onde o bem se esquece do mal Verá que há contrastes na vida Feitos de bronze e cristal Bronze, a tristeza que implora Um novo dia, um clarão da aurora Cristal, sorrisos, luz da certeza Tormento e paz são bronzes e cristais",Emoção,Negativo
sujeitoadjetivo,criança cheia,Sou Rebelde (Soy Rebelde),Lilian,Jovem Guarda,Eu sou rebelde porque o mundo quis assim Porque nunca me trataram com amor E as pessoas se fecharam para mim Eu sou rebelde porque sempre sem razão Me negaram tudo aquilo que eu sonhei E me deram tão somente compreensão Eu queria ser como uma criança Cheia de esperança e feliz E queria dar tudo que há em mim Tudo em troca de uma amizade E sonhar E viver Esquecer o rancor E cantar E sorrir E sentir só amor Eu sou rebelde porque o mundo quis assim Porque nunca me trataram com amor E as pessoas se fecharam para mim Eu queria ser como uma criança Cheia de esperança e feliz E queria dar tudo que há em mim Tudo em troca de uma amizade E sonhar E viver Esquecer o rancor E cantar E sorrir E sentir só amor,Aparência,Neutro
ficar_parecer_tornar,novinha saliente fica loucona,Bum Bum Tam Tam,MC Fioti,Funk,"É a flauta envolvente que mexe com a mente De quem tá presente As novinha saliente Fica loucona e se joga pra gente Aí eu falei assim pra ela, óh Aí eu falei assim pra ela Vai, vai com o bum bum, tam tam Vem com o bum bum, tam tam tam Vai, mexe o bum bum, tam tam Vem, desce o bum bum, tam tam tam Vai, mexe o bum bum, tam tam Vem, desce o bum bum Vai com o bum bum Vem com o bum bum Com o bum bum Com o bum bum Vai, treme o bum bum Tam tam tam tam tam tam tam tam tam tam ... ******* This Lyrics is NOT for Commercial use ******* (1409624795493)",Aparência,Negativo
sujeitoadjetivo,novinha saliente,Bum Bum Tam Tam,MC Fioti,Funk,"É a flauta envolvente que mexe com a mente De quem tá presente As novinha saliente Fica loucona e se joga pra gente Aí eu falei assim pra ela, óh Aí eu falei assim pra ela Vai, vai com o bum bum, tam tam Vem com o bum bum, tam tam tam Vai, mexe o bum bum, tam tam Vem, desce o bum bum, tam tam tam Vai, mexe o bum bum, tam tam Vem, desce o bum bum Vai com o bum bum Vem com o bum bum Com o bum bum Com o bum bum Vai, treme o bum bum Tam tam tam tam tam tam tam tam tam tam ... ******* This Lyrics is NOT for Commercial use ******* (1409624795493)",Aparência,Negativo
sujeitoadjetivo,novinha louca,Piração,Kaká e Pedrinho,Sertanejo,"Ah, esquece As novinha louca tudo quer sentar pros KeP Pira no jeitin que nóis faz Sabe que o swing é demais Tem o Kaká, de menor, vivendo tipo GTA After com ele não tem hora pra acabar Gelo, gin de fruta Soco na costela, só tapão na bunda Tem o Pedrinho, veio do 011 pro 085 Trocou o trap funk pelo forrozinho Rei da cachorrada, cinco namorada Cara de santinho, mas não vale nada Os KeP é piração Nóis bota tudo dentro, sim Bota sentimento não Os KeP é piração Bota tudo dentro, sim Bota sentimento não Olha que bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Olha que, ah, esquece As novinha louca tudo quer sentar pros KeP Pira no jeitin que nóis faz Sabe que o swing é demais Eu sou o Kaká, de menor, vivendo tipo GTA After comigo não tem hora pra acabar Gelo, gin de fruta Soco na costela, só tapão na bunda Eu sou o Pedrinho, vim do 011 pro 085 Troquei o trap funk pelo forrozinho Rei da cachorrada, cinco namorada Cara de santinho, mas não vale nada Os KeP é piração Nóis bota tudo dentro, sim Bota sentimento não Os KeP é piração Bota tudo dentro, sim Bota sentimento não Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho",Caráter,Negativo
sujeitoadjetivo,ninfetinha dessa vai ser difícil,MTG PASSA PASSA PRA EU SARRAR,Mc Livinho,Funk,Tem noção se for só uma vez mais compreensão Não tem nada seu então sem emoção Boladão chega devagar sem se emocionar Calma pra não errar Então perde essa vergonha E aê DJ Topo Se eu te aciono vem dá onde tá Passa passa pra eu sarrar Só vou saber se ela é boa depois que eu tacar A mas se eu viciar toda hora vou marchar Uma ninfetinha dessa vai ser difícil eu largar Se eu te aciono vem dá onde tá Passa passa pra eu sarrar Só vou saber se ela é boa depois que eu tacar A mas se eu viciar toda hora vou marchar Uma ninfetinha dessa vai ser difícil eu largar,Caráter,Negativo
sujeitoadjetivo,bebê moral,Sempre na Simplicidade,MC LUUKY,Funk,"(DJ Victor) [MC LUUKY] Sempre na simplicidade Com as melhores mulheres Joga na água o iate Todas elas se oferece Olha meu bonde gastando Rasgo as pista, Porsche Black Faço dinheiro brincando Mó fita o que acontece [MC Ryan SP] Fica tranquila, bebê Sei que cê é uma mulher ocupada Não quero que perca seu tempo comigo Só quero que gaste na cama sua raiva Não finja que não se importa Se ela me tromba no giro, ela trava Estaciona a nave do lado da minha pra ver se eu tô com passageiro Ela sempre gostou que eu puxei seu cabelo a melhor foda no quarto ou banheiro Deixa a inveja falar e nóis pra cá tira foto com dedo do meio E que ela joga o cabelo ao vento, tira foto do teto solar Grava o vídeo curtindo o momento e eu gravo quando tu gozar Menor xucro, cara de marrento, ô bebê, eu não vou namorar Mas, agora que eu tô solteiro, ninguém vai me segurar Enquanto meu quarto tiver espaço, meu bom, eu encho de puta Fé nas tarada, nóis é da rua Se a noite cai, nóis taca marcha, gasta pesos absurdo Só no semblante do gordin sabe que tem um bolso profundo Enquanto meu quarto tiver espaço, meu bom, eu encho de puta Fé nas tarada, nóis é da rua Se a noite cai, nóis taca marcha, gasta pesos absurdo Só no semblante do gordin sabe que tem um bolso profundo [MC LUUKY] No plantão de fuzil, ela olha Faz de tudo pra me impressionar Dia e noite correndo perigo Hoje é baile e eu vou marolar De radin, palmeando a visão Com as maluca, só bebê moral Debochado nas canção Vai cair aqueles que tentar Sempre na simplicidade Com as melhores mulheres Joga na água o iate Todas elas se oferece Olha meu bonde gastando Rasgo as pista, Porsche Black Faço dinheiro brincando Mó fita o que acontece Sem telhado na favela, eu enjoei, vou de Velar Cheio de nota no console, joga fumaça pro ar É que eu me lembrei do Kevin, deixa os bico falar Que eu fiquei rico esse ano Vou comer todas que quiser me dar, ahn Sempre na simplicidade Com as melhores mulheres Joga na água o iate Todas elas se oferece Olha meu bonde gastando Rasgo as pista, Porsche Black Faço dinheiro brincando (pega teu presente) Mó fita o que acontece [Boladin 211] Abre ala, nóis tá chegando Tamo tocando os cavalo No extremo da humildade Eu aprendi com os mais brabo Que, na guerra, eles deram seu sangue Lutando pelo nosso quadrado Essa vida é uma roda gigante E eu vi vários que despencaram É altas hora, princesinha me ligando Querendo Ibope porque eu tô com os menor do momento O Bololô explanou, os terror, revelação do ano Agora elas tá querendo visitar o nossos acesso Ela me olha, ela viu os terror que passou de Glockada Tropa do Padrinho presente na casa Bem quisto pelas puta Ela me olha, ela viu os terror que passou de Glockada Tropa do Padrinho presente na casa Bem quisto pelas puta (pega) [MC Vine7] O foco é ser dono da rua, nóis tá passando Cinco mente, cinco puta nua tá chacoalhando Joga o lança na boca dela, faz ela dar pra mafioso Domingão passando na favela, invejoso nóis joga sal grosso Desbicando, que anos atrás umas puta no baile nem olhava pra mim Era amigo porque tava duro, hoje, de Porsche não falta assunto Tacando forte numas mina cara que mora ali no Itaim Bibi Um dia de cada vez, manda o dedo do meio pra inveja Deixa eles falar, que nóis é bicho solto e nunca faz média Eu passei não pra pagar, que nóis é bicho solto, DJ Victor O foco é ser dono da rua, nóis tá passando Cinco mente, cinco puta nua tá chacoalhando Joga o lança na boca dela, faz ela dar pra mafioso Domingão passando na favela invejoso nóis joga sal grosso, DJ Victor [MC LUUKY] Sempre na simplicidade Com as melhores mulheres Joga na água o iate Todas elas se oferece Olha meu bonde gastando Rasgo as pista, Porsche Black Faço dinheiro brincando Mó fita o que acontece [Boladin 211] (Pega) (DJ Victor)",Papel Social,Positivo
substantivo,novinha é tentação,Desacato,MC LUUKY,Funk,"Paz e Records, melhor que tá tendo Vou passar gelinho no seu corpo (passar gelinho no seu corpo) E aê, Gui da Norte Mandou, bombou! Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Faz parte, né? Ela sabe que eu sou desacato, maconheiro nato Teu cabelo não bate na bunda Pode deixar que eu bato (pode deixar que eu bato) Combustão, no Sol faz marquinha Queima o baseado Bumbum em alta temperatura, o coração gelado Então deixa queimar, deixa queimar, deixa queimar (deixa queimar) (deixa queimar) Vou passar gelinho no seu corpo Tacar gasolina, que ela tá pegando fogo, uh uh Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Eu vou Vou passar gelinho no seu corpo Tacar gasolina, que ela tá pegando fogo, uh uh Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Tubarão Tá com os preto, chave de verdade Garota pocando de bandida Hoje eu vou de jet no engate No meu carro lotado de pinga Nóis vai sem hot gel Que nóis gosta é do mel, tá guardado na minha carteira A tropa dos metralha embaça na safada, na santinha e nas rampeira Toma cuidado com o poste, se não bate o Porche Tô de lan essa Porche é novinha Hoje eu vou de Ducati Embaça na paty que tá gamada no periferia Posa na minha, invejoso tento o bote Nóis tá de ferinhas na prainha com as do job Sei que tá vidrado e não perde um story Vai passar nervoso, Ano Novo, é os bigode E aí, Luuky, Luuky, Luuky Essas mina tá achando que é sereia, não sai da água Vou passar gelinho no seu corpo Tacar gasolina, que ela tá pegando fogo, uh uh Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Eu vou Qualquer a paixão diverte essa mulher Muito gostosa, de frente e de ré É decidida, ela sabe o que quer Sempre que precisa, aciona as de fé (aciona as de fé) City ou praia, mas em casa, fim de ano uma vez só Revoada, ou, gandaia, ela gosta de encostar Falou pras suas amiga que é temporada de dar (de dar) Dar uma volta pelo mar Ano Novo, calcinha branca Ela quer paz pra pepeca dessa piranha Ano Novo, calcinha branca Ela quer paz pra pepeca dessa piranha Ano Novo, calcinha branca Muita paz pra pepeca dessa piranha Me trajei de branco só pra combinar com a cor da sua calcinha Safada novinha ninfeta, chamando meu vulgo pede putaria Olhando na cara do tralha Trabalha por cima, mexe, faz magia Não para, pede pra não acaba com a boca gelada chupando minha pica Meu Deus, que delícia Ela dá aula demais Confesso, essa mina Mexe com a mente do pai Meu Deus, que delícia Ela dá aula demais Confesso, essa mina Mexe com a mente do pai Acabou de me mandar nudes Bebezinha lá da recall Quer a playbozada no oculto Quando nóis tá no bailão Colocou pra me ver no fute Falou que tava sem Uber Lembrei da puta do Orkut Favelado de a milhão Então desce a de Royal Salut, balinha Md e pá-pum E o resto, cê deixa com ela E o resto, cê deixa com ela De jet no trecho avante, destino ao trecho de Guarujá Pé na areia, baile funk, ô Cê sabe, Ilha Bela (Bela) Gata preparou o corpo o ano todo pra mostrar Deixa ela, a hora é dela Deixa ela, a hora é dela No Réveillon que tal Nóis passar no litoral Só positividade, tirando um lazer Banho de água e sal Que é pra livrar do mal Pra comemorar quando é pra vencer No Réveillon que tal Nóis passar no litoral Só positividade, tirando um lazer Banho de água e sal Que é pra livrar do mal Pra comemorar quando é pra vencer (quando é pra vencer) Vou passar fim de ano conforme os planos Que fiz ano passado É festar com a família Viva a vida Pode deixar anotado No contato da bati, as malandra Meia-noite programado Dá um salve geral que nós puxa de bonde Cê tá com os menor mais caro Praia, farra Mulher, tem de monte Doce, bala te leva pra longe Morena cor do pecado Tá toda no bronze Se joga, hoje tu pode Vai, vai desce no chão Mostra o gingado do seu corpo Gosta de adrenalina Quer mais brisa Por aqui, segue tudo normal Dar tapa nessa bunda Que a bandida tá pegando fogo Tranquiliza a menina, sente o clima Deixa vir, que tudo é temporário Vai, desce no chão Mostra o gingado do seu corpo Gosta de adrenalina Quer mais brisa (Vai) tá tudo normal Dar tapa nessa bunda Que a bandida tá pegando fogo Tranquiliza a menina, sente o clima Deixa vir, que tudo é temporário Vou passar gelinho no seu corpo Tacar gasolina, que ela tá pegando fogo, uh uh Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Eu vou Final de ano, ela sai de provocação Biquíni mordendo a bunda, essa novinha é tentação Eu tava quieto de canto quando eu vi ela passar Mandou eu por o jet na água, eu vou arrastar ela pro mar Fica de quatro, toma toma Ela senta, vem na onda Saiu lá da favelinha pra me dar no Guarujá Fica de quatro, toma toma Ela senta, vem na onda Saiu lá da favelinha pra me dar no Guarujá Os maloqueiro contando muito dinheiro Se não tinha pra alugar, hoje eu lancei a de milhão Ela vê os cara, ela vê que nóis é quebrada Patricinha de Acapulco hoje quer colar com ladrão Amanheceu, o pai procura, a mãe rastreia no radinho Pensa que tá na amiga, ela tá aqui no Furduncinho Amanheceu, o pai procura, a mãe rastreia no radinho Pensa que tá na amiga, ela tá aqui no Furduncinho (no Furduncinho) Vou passar gelinho no seu corpo Tacar gasolina, que ela tá pegando fogo, uh uh Sentou uma vez, senta de novo Vai se apaixonar no bandido periculoso Eu vou Aí, é aqui da favela, o é hit bem esse aqui, hein Aí, Luuky (é o Gui da Norte, tá?) Paz e Records, o melhor que tá tendo Adicionar aos favoritos Adicionar à playlist Tamanho do texto Cifra Imprimir Corrigir Rolagem automática Composição: MC LUUKY / MC Davi / MC Ryan SP / TrapLaudo / Mc Don Jua",Aparência,Negativo
sujeitoadjetivo,novinha louca,MTG PIRAÇÃO,Kaká e Pedrinho,Funk,"Ah, esquece As novinha louca tudo quer sentar pros KeP Pira no jeitin que nóis faz Sabe que o swing é demais Tem o Kaká, de menor, vivendo tipo GTA After com ele não tem hora pra acabar Gelo, gin de fruta Soco na costela, só tapão na bunda Tem o Pedrinho, veio do 011 pro 085 Trocou o trap funk pelo forrozinho Rei da cachorrada, cinco namorada Cara de santinho, mas não vale nada Os KeP é piração Nóis bota tudo dentro, sim Bota sentimento não Os KeP é piração Bota tudo dentro, sim Bota sentimento não Olha que bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Olha que, ah, esquece As novinha louca tudo quer sentar pros KeP Pira no jeitin que nóis faz Sabe que o swing é demais Eu sou o Kaká, de menor, vivendo tipo GTA After comigo não tem hora pra acabar Gelo, gin de fruta Soco na costela, só tapão na bunda Eu sou o Pedrinho, vim do 011 pro 085 Troquei o trap funk pelo forrozinho Rei da cachorrada, cinco namorada Cara de santinho, mas não vale nada Os KeP é piração Nóis bota tudo dentro, sim Bota sentimento não Os KeP é piração Bota tudo dentro, sim Bota sentimento não Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho Bota, bota, bota, Kaká e Pedrinho Bota, bota, bota que tá gostosinho",Caráter,Negativo
